Periodo,feature,Media,Std
2008-2009,rollout/ep_rew_mean,59114.77390625,1297.65079375957
2020-2022,rollout/ep_rew_mean,173109.42875,1280.9937849265652
2012-2014,rollout/ep_rew_mean,222324.3128125,5670.79827696857
2018-2020,rollout/ep_rew_mean,216287.5084375,1457.1151934914053
2008-2009,train/value_loss,8893837.4871875,6559026.498508258
2020-2022,train/value_loss,18150819.451875,18775587.631512832
2012-2014,train/value_loss,32768610.0325,39883742.23285569
2018-2020,train/value_loss,23691232.965,16835770.651498016
