Periodo,feature,Media,Std
2008-2009,rollout/ep_rew_mean,282037.83,3330.3538362031168
2020-2022,rollout/ep_rew_mean,170366.7709375,227.48353193231944
2012-2014,rollout/ep_rew_mean,204740.8378125,2178.0119210444177
2018-2020,rollout/ep_rew_mean,500464.36,1864.7834459776338
2008-2009,train/value_loss,28038201.18125,31947980.250275105
2020-2022,train/value_loss,18579684.7175,18805518.041525844
2012-2014,train/value_loss,14893152.96625,12350394.191546416
2018-2020,train/value_loss,85357267.730625,112971163.17486803
