Dates,ETF-CONSUMER,ETF-CONSUMER-BASIS,ETF-ENERGY,ETF-FINANCIAL,ETF-HEALTH-CARE,ETF-INDUSTRIAL,ETF-MATERIALS,ETF-REAL-STATE,ETF-TECHNOLOGY,ETF-UTILITIES
31/12/1999,31.0625,23.0313,27.0938,19.2981,30.8906,29.6094,26.5781,35.0313,53.875,28.14
01/01/2000,31.0625,23.0313,27.0938,19.2981,30.8906,29.6094,26.5781,35.0313,53.875,28.14
02/01/2000,31.0625,23.0313,27.0938,19.2981,30.8906,29.6094,26.5781,35.0313,53.875,28.14
03/01/2000,30.125,22.75,26.5625,18.5749,30.2969,28.8438,25.9688,35.0313,55.4375,27.45
04/01/2000,29.2188,22.1094,26.0625,17.7629,29.6094,28.0469,25.7188,35.0313,52.625,26.62
05/01/2000,28.8594,22.5,26.75,17.6233,29.3438,27.9219,26.7813,35.0313,51.8438,27.3
06/01/2000,29.1875,22.9219,27.7813,18.3973,29.4375,28.2969,27.4688,35.0313,50.125,27.25
07/01/2000,30.5625,24.375,28.0781,18.7018,29.7969,29.375,27.4531,35.0313,51,27.48
08/01/2000,30.5625,24.375,28.0781,18.7018,29.7969,29.375,27.4531,35.0313,51,27.48
09/01/2000,30.5625,24.375,28.0781,18.7018,29.7969,29.375,27.4531,35.0313,51,27.48
10/01/2000,30.4063,23.8281,27.8438,18.3719,32.8438,29.375,27.3594,35.0313,52.9375,27.58
11/01/2000,30.2344,23.8281,27.875,18.0674,31.9688,29,27.0313,35.0313,51.4375,27.28
12/01/2000,30.0625,23.9531,27.75,18.4226,31.4375,28.6563,26.6406,35.0313,51.2188,27
13/01/2000,30.2188,24.0781,28.2344,18.9809,32.375,29.2031,26.75,35.0313,51.6875,26.75
14/01/2000,30.1406,24.1563,28.0625,19.425,32.0938,29,26.5625,35.0313,52.875,26.97
15/01/2000,30.1406,24.1563,28.0625,19.425,32.0938,29,26.5625,35.0313,52.875,26.97
16/01/2000,30.1406,24.1563,28.0625,19.425,32.0938,29,26.5625,35.0313,52.875,26.97
17/01/2000,30.1406,24.1563,28.0625,19.425,32.0938,29,26.5625,35.0313,52.875,26.97
18/01/2000,29.9688,23.75,28.4063,18.7779,31.5,28.9688,25.9219,35.0313,53.1563,26.86
19/01/2000,29.9063,23.9219,28.3125,18.7145,32.25,28.875,25.4219,35.0313,53.25,26.88
20/01/2000,29.5,23.5938,28.3125,18.3719,32,28.6875,24.75,35.0313,53.5625,27
21/01/2000,28.8906,23.3281,29.0938,18.1435,31.9375,28.3281,24.8594,35.0313,53.625,27.88
22/01/2000,28.8906,23.3281,29.0938,18.1435,31.9375,28.3281,24.8594,35.0313,53.625,27.88
23/01/2000,28.8906,23.3281,29.0938,18.1435,31.9375,28.3281,24.8594,35.0313,53.625,27.88
24/01/2000,27.8125,22.6563,28.0625,17.8136,30.9844,27.5156,24.2031,35.0313,51.875,27.5
25/01/2000,27.9844,22.375,28,18.0039,31.2031,27.3594,23.75,35.0313,52.9844,26.86
26/01/2000,28.1875,22.5781,27.5625,18.6764,31.0625,27.5781,23.75,35.0313,51.25,26.73
27/01/2000,28.1094,23,27,18.8794,30.875,27.7344,23.875,35.0313,50.75,26.56
28/01/2000,27,22.8125,26.6875,18.2196,30.25,27,23.4688,35.0313,48.9375,26.42
29/01/2000,27,22.8125,26.6875,18.2196,30.25,27,23.4688,35.0313,48.9375,26.42
30/01/2000,27,22.8125,26.6875,18.2196,30.25,27,23.4688,35.0313,48.9375,26.42
31/01/2000,27.2031,23.2344,27.3125,18.7271,30.1094,27.1875,23.3281,35.0313,50.5625,27.64
01/02/2000,28.1875,23,27.25,18.8286,30.5,27,23.75,35.0313,51.625,27.44
02/02/2000,28,23.0469,27.4219,18.6383,31.25,27.0156,23.8594,35.0313,52,27.3
03/02/2000,28.1094,22.7344,27.0938,18.5241,31.5313,27,23.4531,35.0313,53.5,27.25
